provincia,1991,2001,2010,2022
Buenos Aires,12594974,13827203,15625084,17541141
CABA,2965403,2776138,2890151,3120612
Córdoba,2766683,3066801,3308876,3760450
Santa Fe,2798422,3000701,3194537,3556522
Mendoza,1412481,1579651,1738929,2014533
Tucumán,1142105,1338523,1448200,1692336
Entre Ríos,1020257,1158147,1235994,1385961
Salta,866153,1079051,1214441,1424397
Misiones,788915,965522,1101593,1261294
Chaco,839677,984446,1055259,1204541
Corrientes,795594,930991,992595,1120801
Santiago del Estero,671988,804457,874006,1031175
San Juan,528715,620023,681055,812080
Jujuy,512329,611888,673307,770881
Río Negro,506772,552822,638645,747610
Neuquén,388833,474155,551266,726590
Formosa,398413,486559,530162,605193
Chubut,357189,413237,509108,618994
San Luis,286458,367933,432310,531755
Catamarca,264234,334568,367828,415438
La Rioja,220729,289983,333642,393531
La Pampa,259996,299294,318951,358428
Santa Cruz,159839,196958,273964,374756
Tierra del Fuego,69369,101079,127205,190641
